CMM,Status,Section Number,Content
2006-08_active,active,1," There are hereby adopted, pursuant to Article 26 of the Convention, the following Western and Central Pacific Fisheries Commission (WCPFC) boarding and inspection procedures.  DEFINITIONS"
2006-08_active,active,2," For the purposes of interpreting and implementing these procedures, the following definitions shall apply:  a. “Convention” means the Convention on the Conservation and Management of the Highly Migratory Fish Stocks in the Western and Central Pacific Ocean, adopted September 5, 2000 in Honolulu, Hawaii; b. “Commission” means the Commission established by Article 9 of the Convention, commonly known as the Western and Central Pacific Fisheries Commission (WCPFC); c. “Authorities of the Inspection Vessel” means the authorities of the Contracting Party of the Commission under whose jurisdiction the inspection vessel is operating; d. “Authorities of the Fishing Vessel” means the authorities of the Member of the Commission under whose jurisdiction the fishing vessel is operating; e. “Authorized inspection vessel” means any vessel included in the Commission register of vessels as authorized to engage in boarding and inspection activities pursuant to these procedures; f. “Authorized inspector” means inspectors employed by the authorities responsible for boarding and inspection included in the Commission Register and authorized to conduct boarding and inspection activities pursuant to these procedures.  PURPOSE"
2006-08_active,active,3, Boarding and inspection and related activities conducted pursuant to these procedures shall be for the purpose of ensuring compliance with the provisions of the Convention and conservation and management measures adopted by the Commission and in force.  2 AREA OF APPLICATION
2006-08_active,active,4, These procedures shall apply on the high seas within the Convention Area.  GENERAL RIGHTS AND OBLIGATIONS
2006-08_active,active,5," Each Contracting Party may, subject to the provisions of these procedures, carry out boarding and inspection on the high seas of fishing vessels engaged in or reported to have engaged in a fishery regulated pursuant to the Convention."
2006-08_active,active,6,"Unless otherwise decided by the Commission, these procedures shall also apply in their entirety as between a Contracting Party and a Fishing Entity, subject to a notification to that effect to the Commission from the Contracting Party concerned."
2006-08_active,active,7, Each Member of the Commission shall ensure that vessels flying its flag accept boarding and inspection by authorized inspectors in accordance with these procedures.  Such authorized inspectors shall comply with these procedures in the conduct of any such activities.   GENERAL PRINCIPLES
2006-08_active,active,8," These procedures are intended to implement and give effect to Article 26 and Annex III, Article 6(2), of the Convention and are to be read consistently with those provisions."
2006-08_active,active,9," These procedures shall be implemented in a transparent and non-discriminatory manner, taking into account, inter alia:  a. such factors as the presence of observers on board a vessel and the frequency and results of past inspections; and   b. the full range of measures to monitor compliance with the provisions of the Convention and agreed conservation and management measures, including inspection activities carried out by the authorities of Members of the Commission in respect of their own flag vessels."
2006-08_active,active,10," While not limiting efforts to ensure compliance by all vessels, priority for boarding and inspection efforts pursuant to these procedures may be given to:   a. fishing vessels that are not on the WCPFC Record of Fishing Vessels and are flagged to Members of the Commission;   b. fishing vessels reasonably believed to engage or to have been engaged in any activity in contravention of the Convention or any conservation and management measure adopted thereunder;   3c. fishing vessels whose flag Member does not dispatch patrol vessels to the area of application to monitor its own fishing vessels;   d. fishing vessels without observers on board;  e. large-scale tuna fishing vessels;  f. fishing vessels with a known history of violating conservation and management measures adopted by international agreement or any country’s national laws and regulations."
2006-08_active,active,11, The Commission shall keep the implementation of these procedures under review.  PARTICIPATION
2006-08_active,active,12, The Commission shall maintain a register of all authorized inspection vessels and authorities or inspectors.  Only vessels and authorities or inspectors listed on the Commission’s register are authorized under these procedures to board and inspect foreign flagged fishing vessels on the high seas within the Convention Area.
