CMM,Status,Section Number,Content
2009-06_active,active,1,"This measure shall commence as soon as possible and no later than July 1, 2010"
2009-06_active,active,2,"2. The provisions of this Measure shall apply to all transhipment in the Convention Area of all highly migratory fish stocks covered by the Convention. CCMs that tranship outside the Convention Area highly migratory fish stocks covered by the Convention taken in the Convention Area shall provide the information related to those activities, as required in paragraphs 10, 11 and 12.  Highly migratory fish stocks covered by the Convention shall not be transhipped at sea by purse seine vessels outside the Convention Area consistent with paragraph 25 of this measure."
2009-06_active,active,3,The provisions of this Measure shall not apply to transhipment of highly migratory fish stocks where fish is taken and transhipped wholly in archipelagic waters or territorial seas.
2009-06_active,active,4,"Transhipment in a port or in waters under the national jurisdiction of a CCM shall take place in accordance with applicable national laws.  With the exception of Section 2 (which applies article 29(5) of the Convention), nothing in this Measure shall prejudice the application of national laws when transhipment occurs in areas under the national jurisdiction of a CCM, including the application of more stringent requirements."
2009-06_active,active,5,"A CCM may notify the Executive Director of its designated port or ports for transhipment.  The Executive Director shall circulate periodically to all members a list of such designated ports.  “Port” includes offshore terminals and other installations for landing, transshipping, processing, refuelling or resupplying;                                                       2  Except paragraph  13(c) this Measure shall enter into effect 1 January 2011. 3"
2009-06_active,active,6,Nothing in this Measure shall derogate the obligations on flag states to ensure compliance by vessels flying their flag while operating on the high seas.  Each CCM shall take necessary measures to ensure that vessels flying its flag comply with this Measure.
2009-06_active,active,7,"For the purposes of this Measure, CCMs are responsible for reporting against vessels flying their flag except where the vessel is operated under charter, lease or other similar mechanisms, as an integral part of the domestic fleet of a coastal state in the Convention Area.  In such case, the chartering state shall be the CCM responsible for reporting against the vessel."
2009-06_active,active,8,"Pursuant to paragraph 7, chartering CCMs and flag CCMs will cooperate for the appropriate management of the vessel to ensure compliance."
2009-06_active,active,9,"For a carrier vessel that is flagged to a non-CCM and is included on the WCPFC Interim Register of non-Member Carrier and Bunker Vessels, the vessel master shall be responsible for reporting against the vessel unless it is operating under a charter arrangement."
2009-06_active,active,10,"A WCPFC Transhipment Declaration, including the information set out in Annex I shall be completed by both the offloading and receiving vessel for each transhipment in the Convention Area, and each transhipment of catch taken in the Convention Area.  Where required in this Measure the Transhipment Declaration shall be sent to the Executive Director."
2009-06_active,active,11,"CCMs shall report on all transhipment activities covered by this Measure (including transhipment activities that occur in ports or EEZs) as part of their Annual Report in accordance with the guidelines at Annex II.  In doing so, CCMs shall take all reasonable steps to validate and where possible, correct information received from vessels undertaking transhipment using all available information such as catch and effort data, position data, observer reports and port monitoring data."
2009-06_active,active,12,"Notices to the Executive Director under paragraphs 24 and 35.a.iii shall be given via a means of two-way communication by data (e.g., telex, facsimile, email).  The CCMs responsible for reporting against both the offloading and receiving vessels are responsible for providing notices, but may authorise the vessel or the vessel operator to provide notices directly.  Notices must include the information set out in Annex III."
2009-06_active,active,13,"Each CCM shall ensure that vessels they are responsible for carry observers from the WCPFC Regional Observer Programme (ROP) to observe transhipments at sea as follows:  a. for transhipments to receiving vessels less than or equal to 33 meters in length, and not involving purse seinecaught fish or frozen longlinecaught fish, 100% observer coverage starting on the effective date of this Measure, with the observer(s) deployed on either the offloading vessel or receiving vessel;  b. for transhipments other than those covered by subparagraph (a) and involving only troll-caught or pole-and-line-caught fish, 100% observer coverage starting 1 January 2013, with the observer(s) deployed on the receiving vessel.  4  c. for transhipments other than those covered by subparagraphs (a) and (b), 100% observer coverage starting on the effective date of this Measure, with the observer(s) deployed on the receiving vessel."
2009-06_active,active,14,"Observers shall monitor implementation of this Measure and confirm to the extent possible that the transshipped quantities of fish are consistent with other information available to the observer, which may include:   a. the catch reported in the WCPFC Transshipment Declaration;  b. data in catch and effort logsheets, including catch and effort logsheets reported to coastal States for fish taken in waters of such coastal States;  c. vessel position data; and  d.  the intended port of landing."
2009-06_active,active,15,Observers shall have full access to both the unloading and the receiving vessel in order to ensure that proper verification of catches can occur.  The Commission shall develop guidelines for the safety of observers in moving between vessels as part of the ROP.
2009-06_active,active,16,Receiving vessels shall only receive product from one unloading vessel at a time for each observer that is available to monitor the transhipment.
2009-06_active,active,17,Any scheme or process developed and agreed by the Commission for the cross endorsement of observers from other RFMOs as part of the ROP shall apply to this measure.
2009-06_active,active,18,"The Commission shall provide appropriate financial and technical assistance to developing states, in particular small island developing states, in the implementation of this Measure including in accordance to Article 30."
2009-06_active,active,19,The measure shall be reviewed periodically in response to other measures and decisions taken by the Commission and taking into account the implementation of this and other measures. 1A – Transhipment to and from non-CCM Vessels
2009-06_active,active,20,"CCMs shall take measures to ensure that vessels do not tranship to or from a vessel flagged to a non-CCM unless that vessel is authorized by a decision of the Commission, such as: a. a non-CCM carrier vessel that is on the WCPFC Interim Register of non-CCM Carrier and Bunker Vessels established under CMM 2009-01; or b. a non-CCM fishing vessel that is licensed to fish in the EEZ of a CCM in accordance with a decision of the Commission."
2009-06_active,active,21,"To retain any authorisation from the Commission relevant to paragraph 20, a non-CCM vessel shall not tranship to or from a non-authorised non-CCM vessel. 5"
2009-06_active,active,22,"In cases where transhipment involves a non-CCM vessel specified in paragraph 18 20.a, any required communications to the Executive Director, including pre-transhipment notices and transhipment declarations that are required under various sections of this measure, shall be responsibility of the vessel master of the carrier vessel or chartering CCM. 1B – Force Majeure or Serious Mechanical Breakdown"
2009-06_active,active,23,"Unless otherwise stated, the restrictions in this measure shall not prevent a vessel from transhipping in cases of force majeure or serious mechanical breakdown that could threaten the safety of the crew or result in a significant financial loss though fish spoilage."
