CMM,Status,Section Number,Content
2015-01_historical,historical,1," Compatible measures for the high seas and exclusive economic zones (EEZs) are implemented so that bigeye, yellowfin and skipjack tuna stocks are, at a minimum, maintained at levels capable of producing their maximum sustainable yield as qualified by relevant environmental and economic factors including the special requirements of 3  developing States in the Convention Area as expressed by Article 5 of the Convention.  The Commission will amend, or replace the objectives with target reference points after their adoption. Skipjack"
2015-01_historical,historical,2," the Fishing Mortality Rate (F) for skipjack will be maintained at a level no greater than Fmsy, i.e. F/Fmsy ≤ 1.  Bigeye"
2015-01_historical,historical,3," the fishing mortality rate for bigeye tuna will be reduced to a level no greater than Fmsy, i.e. F/Fmsy ≤ 1. This objective shall be achieved through step by step approach through 2017 in accordance with this Measure.  Yellowfin"
2015-01_historical,historical,4," the fishing mortality rate is not greater than Fmsy, i.e. F/Fmsy ≤ 1.  General Rules Attribution of Charter Arrangements"
2015-01_historical,historical,5," For the purposes of paragraph 9, 10, 16-18, 25, 28, 40, 43, 49, 50, 51, and 52, attribution of catch and effort shall be to the flag State, except that catches and effort of vessels notified as chartered under CMM 2011-05 shall be attributed to the chartering Member, or Participating Territory. Attribution for the purpose of this Measure is without prejudice to attribution for the purposes of establishing rights and allocation.   Non-Parties"
2015-01_historical,historical,6," In giving effect to CMM 2009-11 or its replacement the Commission shall advise non-Parties to the Convention wishing to acquire Co-operating Non Member (CNM) status as follows: (a) that for bigeye tuna the current fishing mortality rate is above that associated with MSY and the Scientific Committee recommends a reduction in F for bigeye tuna; (b) yellowfin tuna is not being overfished but current F is close to Fmsy and the Scientific Committee recommends no increase in F for yellowfin tuna; (c) that skipjack tuna is not being overfished and that the Scientific Committee recommended that the Commission consider adopting limits on fishing for skipjack tuna and noted that additional purse seine effort on skipjack tuna will yield only modest long term gains in catches. Therefore, where necessary, the limits that apply to CNMs, particularly on the high seas, will be determined by the Commission in accordance with CMM 2009-11 or its revision.    4  Small Island Developing States"
2015-01_historical,historical,7," Unless otherwise stated, nothing in this Measure shall prejudice the rights and obligations of those small island developing State Members and Participating Territories in the Convention Area seeking to develop their domestic fisheries. This paragraph shall not be applied to paragraphs 14 - 24, 30 and 32 – 37."
2015-01_historical,historical,8," In giving effect to this CMM, the Commission shall pay attention to the geographical situation of a small island developing State which is made up of non-contiguous groups of islands having a distinct economic and cultural identity of their own but which are separated by areas of high seas. Transfer of effort"
2015-01_historical,historical,9," CCMs shall ensure that the effectiveness of these measures for the purse seine fishery are not undermined by a transfer of effort in days fished into areas within the Convention Area south of 20S. In order not to undermine the effectiveness of these measures, CCMs shall not transfer fishing effort in days fished in the purse seine fishery to areas within the Convention Area north of 20N."
2015-01_historical,historical,10, CCMs shall ensure that the effectiveness of other measures of the Commission is not undermined by a transfer of longline fishing effort or capacity to other areas within the Convention Area.  Area of Application
2015-01_historical,historical,11, This Measure applies to all areas of high seas and all EEZs in the Convention Area except where otherwise stated in the Measure.
2015-01_historical,historical,12, Coastal States are encouraged to take measures to reduce fishing mortality on juvenile bigeye and yellowfin tuna in archipelagic waters and territorial seas and to notify/inform the WCPFC Secretariat of the relevant measures that they will apply in these waters including longline bigeye catch limits and expected number of FAD sets or bigeye catches from purse seining.  Overlap Area
2015-01_historical,historical,13," The catch and effort limits in paragraphs 16 - 18 (FAD sets), paragraph 25 (high seas purse seine effort limits), paragraph 40 (bigeye longline catch), and paragraphs 28 and 43 (yellowfin purse seine effort and longline catch) shall be calculated from the relevant historical levels within the Convention Area except for those Member flag 5  States who, consistent with the WCPFC9 decision (paragraph 80 of WCPFC9 Summary Report), notify of their choice to implement IATTC measures in the overlap area. For those Member flag States who choose to implement IATTC measures in the overlap area, the calculation of their limits for the Convention Area (excluding the overlap area) shall exclude historical catch or effort within the overlap area. Notwithstanding decisions on application of catch and/or effort limits, all other provisions of this measure apply to all vessels fishing in the overlap area. II. Measures for 2014-2017 Purse seine fishery in tropical area (20N – 20S) FAD Set Management2 Common measures for 2014-2017"
2015-01_historical,historical,14," A three (3) months (July, August and September) prohibition of setting on FADs shall be in place for all purse seine vessels fishing in EEZs and high seas (see paragraphs 3 -7 of CMM 2009-02 for the rules for the FAD closure in the high seas)."
2015-01_historical,historical,15," The Commission shall at WCPFC11 adopt arrangements to ensure that this CMM, consistent with the Convention Article 30 2(c), does not result in transferring, directly or indirectly, a disproportionate burden of conservation action onto SIDS.  The fifth month FAD closure and alternative FAD set limit in paragraph 17 shall only take effect when these arrangements are agreed.    Additional FAD Measures for 2014"
2015-01_historical,historical,16," Each CCM must select one of the following options listed below and notify the Secretariat of that selection by April 1, 2014.3   a. The prohibition of setting on FADs shall be extended for an additional month, for a total of 4 months (July, August, September, and October). OR  b. In addition to the 3-month prohibition of setting on FADs the CCM shall                                                    2 For members of the PNA, this measure will be implemented through the Third Arrangement Implementing the Nauru Agreement of May 2008. 3 Purse seine vessels flagged to a developing coastal state member smaller than 50 m LOA (13+36=49 vessels currently on the WCPFC Record of Fishing Vessels) are exempted from this reduction requirement described in paragraphs 16 - 18. When a SIDS CCM chooses limitation of annual FAD sets stipulated in paragraphs 16 - 18, purse seine vessels newly introduced after January 1 2010 are managed outside of the FAD set limit for that CCM for 3 years following their introduction.  After 3 years the FAD sets/total sets by those vessels shall be incorporated into the calculation of the baseline figure for that CCM.  Those purse seine vessels exempted or managed outside the FAD set limit shall be notified to the Secretariat by 31 March 2014 or within 15 days of vessels introduced after this date.  6  limit the total number of FAD sets by its vessels to the number listed in column A in Attachment A.4      Additional FAD Measures for 2015 and 2016"
2015-01_historical,historical,17," Each CCM must select one of the following options listed below and notify the Secretariat of that selection by December 31 of the previous year.  a. The prohibition of setting on FADs shall be extended for an additional two (2) months, for a total of 5 months (January, February, July, August, September). If a non-SIDS CCM chooses this option, the CCM shall take necessary measures to ensure that its total FAD sets in 2015 and 2016 shall not increase from its average number of FAD sets in 2010-2012, as listed in column D in Attachment A.  OR  b. In addition to the 3-month prohibition of setting on FADs the CCM shall limit the total number of FAD sets by its vessels to the number listed in column B in Attachment A.     Additional FAD Measures for 2017"
2015-01_historical,historical,18," In addition to the FAD measures 2015 and 2016, except for those Kiribati flagged vessels fishing in the adjacent high seas, it shall be prohibited to set on FADs in the high seas, unless the Commission decides on other alternative measures at its 2014 or 2015 or 2016 annual meeting.5    Reporting for FAD set limit option"
2015-01_historical,historical,19," CCMs that select an option that limits the number of FAD sets in addition to the 3-month prohibition of FAD sets (paragraph 16b, 17b) shall implement the limit on FAD sets in accordance with the following: (a)  The captain of a purse seine vessel shall weekly report (i) the number of FAD sets, (ii) the number of total sets, and (iii) estimated bigeye catch in the previous week to the flag CCM and the observer on board.   (b)  The flag CCM shall provide information set forth in (19a) every month by its vessels to the Secretariat.                                                     4 Throughout this measure, in the case of small purse seine fleets, of five vessels or less, the baseline level of effort used to determine a limit shall be the maximum effort in any period and not the average.   5 The high seas FAD closure in paragraph 18 does not apply in 2017 to a CCM that has achieved a verifiable reduction in bigeye catches by its purse seine vessels to 55% from current levels (2010-2012), to be reviewed on the basis of the advice of the Scientific Committee.  The measures that the Philippines will take are in Attachment C. 7  (c)  After the number of FAD set conducted reaches 80% of the set limit, the CCM shall report the information (19a) above weekly to the Secretariat.  (d)  After the number of FAD sets conducted reaches 90% of the set limit, the captain shall report the information daily to the flag CCM authority.  (e)  When the number of FAD set conducted reaches the limit, the CCM shall promptly take necessary measures to ensure that no further sets on FADs shall be made by its purse seine vessels during that calendar year and report the measures taken to the Secretariat.   Purse Seine Effort Control Exclusive Economic Zones6"
2015-01_historical,historical,20, Coastal States within the Convention Area that are Parties to the Nauru Agreement (PNA) shall restrict the level of purse seine effort in their EEZs to 2010 levels through the PNA Vessel Days Scheme.
2015-01_historical,historical,21, CCMs shall support the ongoing development and strengthening of the PNA VDS including implementation and compliance with the requirements of the VDS as appropriate.
2015-01_historical,historical,22," Other coastal States within the Convention Area with effort in their EEZs exceeding 1,500 days annually over the period 2006-2010 shall limit effort in their EEZs to 2001-2004 average or 2010 levels."
2015-01_historical,historical,23," Other coastal States within the Convention Area other than those referred to in paragraph 20 and paragraph 22 shall establish effort limits, or equivalent catch limits for purse seine fisheries within their EEZs that reflect the geographical distributions of skipjack, yellowfin, and bigeye tunas, and are consistent with the objectives for those species. Those coastal States that have already notified limits to the Commission shall restrict purse seine effort and/or catch within their EEZs in accordance with those limits.  Those coastal State CCMs that have yet to notify limits to the Commission shall do so by 30 June 2014.   Reporting against EEZ Limits"
2015-01_historical,historical,24," PNA shall report to the Commission against its collective annual limit by 1 July for the previous 12-month calendar period.  CCMs subject to limits in paragraph 22 and 23 shall report their quantitative limits and their bases in their Annual Report Part 2 for 2013 and shall annually report fishing days in their Annual Report Part 2 for the                                                    6 The requirement in this section to establish coastal State effort and/or catch limits shall apply to all coastal States within the Convention Area, including those north of 20N and south of 20S.  8  previous 12 month calendar period.    High Seas purse seine effort limits"
2015-01_historical,historical,25," For 2016, non-SIDS CCMs shall restrict the level of purse seine effort on high seas to the limits indicated in Attachment D.7  The Commission shall review these limits at its meeting in 2016 and agree on high seas purse seine effort limits to apply after 2016."
2015-01_historical,historical,26," Notwithstanding any agreement that may be reached at its annual meetings in 2014, 2015 and 2016 on high seas purse seine effort limits the total effort level for non-SIDS CCMs shall not exceed the total level of effort in Attachment D.8"
2015-01_historical,historical,27, The limits in paragraph 25 and 26 do not confer the allocation of rights to any CCM and are without prejudice to future decisions of the Commission.     Yellowfin tuna purse seine catch
2015-01_historical,historical,28," CCMs agree to take measures not to increase catches by their vessels of yellowfin tuna.  At its 2016 regular session the Commission will formulate and adopt appropriate limits for CCMs, based on recommendations from the Scientific Committee, and taking into account other measures in this CMM. At its 2016 regular session the Commission will also formulate and adopt any in-season reporting requirements needed to support full implementation of these limits."
2015-01_historical,historical,29," The Scientific Committee at its 2016 regular session will provide advice to the Commission on the relative impact on fishing mortality for yellowfin, of FAD set measures and any increases of yellowfin purse seine catch in unassociated schools.    Catch retention"
2015-01_historical,historical,30," To create a disincentive to the capture of small fish and to encourage the development of technologies and fishing strategies designed to avoid the capture of small tunas and other fish, CCMs shall require their purse seine vessels fishing in EEZs and on the high seas within the area bounded by 20ºN and 20ºS to retain on board and then land or transship at port all bigeye, skipjack, yellowfin tuna. (See CMM 2009-02 paragraphs 8-12 for the Commission’s rules for catch retention in the high seas.) The                                                    7 The measures that the Philippines will take are in Attachment C. 8 The limits in paragraph 25 are without prejudice to the positions of CCMs concerned about whether the effort on which the limits are based was compliant with CMMs. 9  only exceptions to this paragraph shall be:  a) when, in the final set of a trip, there is insufficient well space to accommodate all fish caught in that set, noting that excess fish taken in the last set may be transferred to and retained on board another purse seine vessel provided this is not prohibited under applicable national law; or  b) when the fish are unfit for human consumption for reasons other than size; or  c) when serious malfunction of equipment occurs."
2015-01_historical,historical,31," Nothing in paragraph 14-18 and 30 shall affect the sovereign rights of coastal States to determine how these management measures will be applied in their waters, or to apply additional or more stringent measures.   Monitoring and control"
2015-01_historical,historical,32," Notwithstanding the VMS SSP, a purse seine vessel shall not operate under manual reporting during the FADs closure periods, but the vessel will not be directed to return to port until the Secretariat has exhausted all reasonable steps to re-establish normal automatic reception of VMS positions in accordance with the VMS SSPs. The flag State shall be notified when VMS data is not received by the Secretariat at the interval specified in CMM 2011-02 or its replacement, and paragraph 36."
2015-01_historical,historical,33," CCMs shall ensure that purse seine vessels entitled to fly their flags and fishing within the area bounded by 20° N and 20°S exclusively on the high seas, on the high seas and in waters under the jurisdiction of one or more coastal States, or vessels fishing in waters under the jurisdiction of two or more coastal States, shall carry an observer from the Commission’s Regional Observer Program (ROP) (CMM 2007-01)."
2015-01_historical,historical,34," Each CCM shall ensure that all purse seine vessels fishing solely within its national jurisdiction within the area bounded by 20° N and 20°S carry an observer. These CCMs are encouraged to provide the data gathered by the observers for use in the various analyses conducted by the Commission, including stock assessments, in such a manner that protects the ownership and confidentiality of the data."
2015-01_historical,historical,35, ROP reports for trips taken during FADs closure period shall be given priority for data input and analysis by the Secretariat and the Commission’s Science Provider.
2015-01_historical,historical,36, VMS polling frequency shall be increased to every 30 minutes during the FAD closure period. The increased costs associated with the implementation of this paragraph will be borne by the Commission.  10  FAD Management Plan
2015-01_historical,historical,37," By 1 July 2014, CCMs fishing on the high seas shall submit to the Commission Management Plans for the use of FADs by their vessels on the high seas, if they have not done so. These Plans shall include strategies to limit the capture of small bigeye and yellowfin tuna associated with fishing on FADs, including implementation of the FAD closure pursuant to paragraphs 14 – 18. The Plans shall at a minimum meet the Suggested Guidelines for Preparation for FAD Management Plans for each CCM (Attachment E)."
2015-01_historical,historical,38," The Commission Secretariat will prepare a report on additional FAD management options for consideration by the Scientific Committee, the Technical & Compliance Committee and the Commission in 2014, including: a. Marking and identification of FADs; b. Electronic monitoring of FADs; c. Registration and reporting of position information from FAD-associated buoys; and d. Limits to the number of FADs deployed or number of FAD sets made.  Juvenile Tuna Catch Mitigation Research"
2015-01_historical,historical,39," CCMs and the Commission shall promote and encourage research to identify ways for vessels to avoid the capture of juvenile bigeye and yellowfin tuna during FAD sets, including, inter-alia, the possibility that the depth of the purse seine net is a factor in the amount of juvenile bigeye and yellowfin tuna taken during such sets.  Results shall be presented annually, through the Scientific Committee and the Technical and Compliance Committee, to the Commission. Longline fishery Bigeye Catch limits"
2015-01_historical,historical,40, The catch limits in 2014 and thereafter for bigeye tuna shall be as specified in Attachment F.  Any overage of the catch limit by a CCM shall be deducted from the catch limit for the following year for that CCM.
2015-01_historical,historical,41," Paragraph 40 does not apply to members that caught less than 2,000 tonnes in 2004.  Each member that caught less than 2,000 tonnes of bigeye in 2004 shall ensure that their catch does not exceed 2,000 tonnes in each of the next 4 years (2014, 2015, 2016 and 2017).  Consistent with paragraph 6 opportunities for non-members will be decided by the Commission on a case by case basis.  11"
2015-01_historical,historical,42, The limits in paragraphs 40 and 41 do not confer the allocation of rights to any CCM and are without prejudice to future decisions of the Commission.     Yellowfin measures
2015-01_historical,historical,43," CCMs agree to take measures not to increase catches by their longline vessels of yellowfin tuna.  At its 2016 regular session the Commission will formulate and adopt appropriate limits for CCMs, based on recommendations from the Scientific Committee, and taking into account other measures in this CMM.  At its 2016 regular session the Commission will also formulate and adopt any in-season reporting requirements needed to support full implementation of these limits.  Monthly bigeye catch report"
2015-01_historical,historical,44," CCMs listed in Attachment F shall report monthly the amount of bigeye catch by their flagged vessels to the Secretariat by the end of the following month. When 90% of the catch limit for a CCM is exceeded, the Secretariat shall notify that to all CCMs.  Spatial Management"
2015-01_historical,historical,45," CCMs will explore spatial approaches to managing the tropical tuna stocks, particularly bigeye tuna, including zone-based longline management measures and FAD set limits in the purse seine fishery.    Other Commercial fisheries"
2015-01_historical,historical,46," To assist the Commission in the further development of provisions to manage the catch of bigeye, yellowfin, and skipjack tunas the Scientific and Technical and Compliance Committees during their meetings in 2014 will provide advice to the Commission on which fisheries should be included in this effort and what information is needed to develop appropriate management measures for those fisheries."
2015-01_historical,historical,47," CCMs shall take necessary measures to ensure that the total effort and capacity of their respective other commercial tuna fisheries for bigeye, yellowfin and skipjack tuna but excluding those fisheries taking less than 2,000 tonnes of bigeye, yellowfin, and skipjack, shall not exceed the average level for the period 2001-2004 or 2004."
2015-01_historical,historical,48, CCMs shall provide the Commission with estimates of fishing effort for these other fisheries or proposals for the provision of effort data for these fisheries for 2013 12  and future years.  Capacity Management  Purse Seine vessels
2015-01_historical,historical,49," Other than SIDS and Indonesia, CCMs shall not increase the number of purse seine vessels flying their flag larger than 24m with freezing capacity between 20N and 20S (hereinafter “LSPSVs”) above the current level.9"
2015-01_historical,historical,50," The concerned CCMs shall ensure that any new LSPSV constructed or purchased to replace a previous vessel or vessels, shall have a carrying capacity or well volume no larger than the vessel(s) being replaced, or shall not increase the catch or effort in the Convention Area from the level of the vessels being replaced.   In such case, the authorization of the replaced vessel shall be immediately revoked.  Notwithstanding the first sentence in this paragraph, for those vessels for which building approval has already been granted and notified to the Commission before 1 March 2014, the construction of those vessels will be in accordance with existing regulations of the concerned CCMs.    Longline vessels"
2015-01_historical,historical,51," Other than SIDS and Indonesia10, CCMs shall not increase the number of their longline vessels with freezing capacity targeting bigeye tuna above the current level."
