CMM,Status,Section Number,Content
2017-02_active,active,1,The purpose of this measure is to establish processes and procedures for CCMs to request that port inspections be undertaken on fishing vessels suspected of engaging in IUU fishing or fishing related activities in support of IUU fishing.   General rights and obligations
2017-02_active,active,2,"Nothing in this CMM shall prejudice the rights, jurisdiction and duties of CCMs under international law. In particular, nothing in this CMM shall be construed to affect:  a) the sovereignty of CCMs over their internal, archipelagic and/or territorial waters, or their sovereign rights over their continental shelves and/or exclusive economic zones; b)  the exercise by port CCMs of their sovereignty over their ports in their territory in accordance with international law, including their right to deny entry thereto as well as adopt more stringent measures than those provided for in this CMM."
2017-02_active,active,3,"This CMM shall be interpreted and applied consistently with international law, taking into account applicable international rules and standards."
2017-02_active,active,4,"Nothing in this measure affects the entry of vessels to port in accordance with international law for reasons of force majeure or distress, or prevents a port CCM from permitting entry into port to a vessel exclusively for the purpose of rendering assistance to persons, ships or aircraft in danger or distress.  3"
2017-02_active,active,5,"Each flag CCM shall require its flagged vessels to cooperate with any port CCM that is implementing any port State measures under the WCPF Convention, and this CMM.   Designation of Ports"
2017-02_active,active,6,Each port CCM is encouraged to designate ports for the purposes of inspection through the provision of a list of its designated ports to the WCPFC Executive Director. Any subsequent designation of ports or changes to this list shall be notified to the WCPFC Executive Director at least 30 days before the designation or change takes effect.
2017-02_active,active,7,The WCPFC Executive Director shall establish and maintain a record of designated ports based on the lists submitted by port CCMs. The record and any subsequent change shall be immediately published on the WCPFC website.  Authorized fisheries Inspectors
2017-02_active,active,8,Port CCMs shall ensure that fisheries inspections are undertaken by Government authorized inspectors. Each inspector shall carry a document of identity issued by the port CCM.   Inspection requirements
2017-02_active,active,9,"Port CCMs shall carry out inspections on at least the following vessels:   a) on any foreign longline, purse seine and carrier vessel that enters their designated port and is not listed on the WCPFC Record of Fishing Vessels, other than in cases where the vessel is authorized with another RFMO that the port CCM is a Party to, as practicable;  b) vessels that appear on the IUU list of an RFMO."
2017-02_active,active,10,"A port CCM shall give particular consideration to inspecting those vessels suspected of undertaking IUU fishing activities, including if identified by non-CCMs or other RFMOs, particularly where evidence of IUU fishing or fishing related activities in support of IUU fishing has been provided.   Request for Port Inspection"
