CMM,Status,Section Number,Content
2008-01_historical,historical,1," The objectives of this Measure are to:    � Ensure through the implementation of compatible measures for the high seas and EEZs that bigeye and yellowfin tuna stocks are maintained at levels capable of producing their maximum sustainable yield; as qualified by relevant environmental and economic factors including the special requirements of developing States in the Convention area as expressed by Article 5 of the Convention.                                                   1 For the purposes of these measures, the term Fish Aggregation Device (FAD) means any man-made device, or natural floating object, whether anchored or not, that is capable of aggregating fish.   3� Achieve, through the implementation of a package of measures, over a three-year period commencing in 2009, a minimum of 30% reduction in bigeye tuna fishing mortality from the annual average during the period 2001-2004 or 2004;    � Ensure that there is no increase in fishing mortality for yellowfin tuna beyond the annual average during the period 2001-2004 average or 2004; and  � Adopt a package of measures that shall be reviewed annually and adjusted as necessary by the Commission taking account of the scientific advice available at the time as well as the implementation of the measures.  In addition, this review shall include any adjustments required by Commission decisions regarding management objectives and reference points.    GENERAL RULES OF APPLICATION"
2008-01_historical,historical,2," For the purposes of these measures, vessels operated under charter, lease or other similar mechanisms by developing islands States and participating territories, as an integral part of their domestic fleet, shall be considered to be vessels of the host island State or territory.  Such charter, lease or other similar mechanism shall be conducted in a manner so as not to charter known illegal, unreported and unregulated  (IUU) vessels. The Commission shall consider the implementation of a Charter Arrangements Scheme at its 6th Session in 2009."
2008-01_historical,historical,3," In giving effect to CMM 2004-02, the  Commission  shall advise non-Parties to the Convention wishing to acquire Co-operating Non member (CNM) status that there is a high probability that overfishing is currently taking place in respect of bigeye and yellowfin and tuna in the Convention Area.  Therefore, where necessary, the limits that apply to CNMs, particularly on the high seas, will be determined by the Commission in accordance with CMM 2004-02 or its revision."
2008-01_historical,historical,4, The Commission will not delay the adoption of precautionary measures while research to reduce the fishing mortality on juvenile bigeye and yellowfin tuna is being undertaken by CCMs.
2008-01_historical,historical,5, The Commission encourages CCMs to ensure that the effectiveness of these measures is not undermined by a transfer of effort into archipelagic waters and territorial seas.
2008-01_historical,historical,6," Unless otherwise stated, nothing in this measure shall prejudice the legitimate rights and obligations of those small island developing State Members and participating territories in the Convention Area seeking to develop their own domestic fisheries."
2008-01_historical,historical,7,"In the determination of levels of effort for the purpose of implementing this Measure current levels of fishing effort shall include, as applicable, fishing rights organized under existing regional or bilateral fisheries partnership arrangements or agreements previously registered with the Commission by December 2006 in accordance with CMM2005-01, provided that the number of licences authorized under such arrangements does not increase and noting that the registration of bilateral agreements or arrangements does not provide a basis for establishing effort levels on the high seas.  PURSE SEINE FISHERY"
2008-01_historical,historical,8," The purse seine fishery provisions of this Measure herein apply to the Convention Area bounded by 20ºN and 20ºS with the objective of achieving over a 3-year period commencing   4from the date this measure comes into effect in 2009, a 30% reduction in fishing mortality on bigeye tuna in the purse seine fishery in that area and a reduction in the risk of overfishing yellowfin tuna."
2008-01_historical,historical,9," CCMs shall ensure that the effectiveness of these measures for the purse seine fishery are not undermined by a transfer of effort in days fished into areas within the Convention Area south of 20ºS. In order to not undermine the effectiveness of these measures, CCMs shall not transfer fishing effort in days fished in the purse seine fishery to areas within the Convention Area north of 20ºN."
2008-01_historical,historical,10,"CCMs shall take necessary measures to ensure that the level of purse seine fishing effort in days fished2 by their vessels in areas of the high seas does not exceed 2004 levels or the average of 2001-2004. In accordance with paragraph 6 this Measure, this paragraph shall not apply to small developing state members and participating territories.  Measures for 2009  EEZ and High Seas"
2008-01_historical,historical,11,"For the members of the FFA who belong to the PNA, this measure will be implemented through their domestic processes and legislation, including the Vessel Day (VDS) Scheme which limits total days fished in the EEZs of PNA members to no greater than 2004 levels (Attachment C). The purse seine fishery in EEZs in the area bounded by 20ºN and 20ºS shall be closed to fishing on FADs between 0000 hours on 1 August and 2400 hours on 30 September. During this period all purse seine vessels required to carry an observer from the Regional Observer Program on board, and without such an observer on board, will cease fishing and return directly to port. During this period, a vessel may only engage in fishing operations if the vessel carries on board an observer from the Regional Observer Program to monitor that at no time does the vessel deploy or service any FAD or associated electronic devices or fish on schools in association with FADs."
2008-01_historical,historical,12, Other non-PNA CCMs shall implement compatible measures to reduce purse seine fishing mortality on bigeye tuna in their EEZs.
2008-01_historical,historical,13," The purse seine fishery on the high seas in the area bounded by 20ºN and 20ºS shall be closed to fishing on FADs between 0000 hours on 1 August and 2400 hours on 30 September. During this period all purse seine vessels without an observer from the Regional Observer Program on board will cease fishing and return directly to port. During this period, a vessel may only engage in fishing operations if the vessel carries on board an observer from the Regional Observer Program to monitor that at no time does the vessel deploy or service any FAD or associated electronic devices or fish on schools in association with FADs."
2008-01_historical,historical,14," Vessels seeking an observer from the Regional Observer Program for the period of the closures identified in paragraphs 12 and 13 above shall notify the Regional Observer Program Coordinator 21 days in advance. If the lack of an available observer from the Regional Observer Program would prevent a vessel from being able to fish during the period in question, the flag State may place an observer from its national program on the vessel to monitor compliance with                                                  2 In the case of small developing fleets, of four vessels or less, that legitimately entered the fishery after 2000 but before 2004, the baseline level of effort shall be a year in the period 2001-2004 in which its full vessel complement was active in the fishery.   5these measures with approval from the Regional Observer Program Coordinator and, in respect to fishing in EEZs, the approval of the relevant national authority.  High Seas Alternative to Paragraph 13 (Catch Limits)"
