Document ID,Number,Content
WCPFC18,1,The Eighteenth Regular Session of the Commission for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean (WCPFC18) took place from 1–7 December 2021 as an electronic meeting
WCPFC18,2,"The following Members and Participating Territories attended WCPFC18: American Samoa, Australia, Canada, the People’s Republic of China, the Cook Islands, the European Union (EU), the Federated States of Micronesia (FSM), Fiji, France, French Polynesia, Guam, Indonesia, Japan, Kiribati, the Republic of Korea, the Republic of the Marshall Islands (RMI), Nauru, New Caledonia, New Zealand, Niue, Palau, Papua New Guinea (PNG), the Philippines, Samoa, the Solomon Islands, Chinese Taipei, Tokelau, Tonga, Tuvalu, the United States of America (USA) and Vanuatu."
WCPFC18,3,"The following non-party countries attended WCPFC18 as Cooperating Non-Members (CNMs): Curacao, Ecuador, El Salvador, Liberia, Nicaragua, Panama, Thailand and Vietnam."
WCPFC18,4,"Observers from the following intergovernmental organizations attended WCPFC18: International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean (ISC), North Pacific Fisheries Commission (NPFC), Pacific Islands Forum Fisheries Agency (FFA), Parties to the Nauru Agreement (PNA), The Pacific Community (SPC), and The World Bank."
WCPFC18,5,"Observers from the following non-governmental organizations (NGOs) attended WCPFC18: Advocates for Public Interest Law, American Tunaboat Association, Australian National Centre for Ocean Resources and Security (ANCORS), Birdlife International, Conservation International, Global Fishing Watch, The Global Tuna Alliance, Greenovation Hub, International Pole and Line Foundation (IPNLF), International Seafood Sustainability Foundation (ISSF), Korean Federation for Environmental Movement,  Marine Stewardship Council, The Ocean Foundation, Organisation for the Promotion of Responsible Tuna WCPFC18 Summary Report Issued: 13 April 2022  2    Fisheries, Organization for Regional and Inter-regional Studies, Pew Charitable Trust, World Tuna Purse Seine Organisation (WTPO), and World Wide Fund for Nature (WWF)."
WCPFC18,6,A full list of all participants is provided in Attachment A.
WCPFC18,7,"The Commission Chair Ms Jung-re Riley Kim opened the WCPFC18 at 1:00 pm (Pohnpei time) on Wednesday, 01 December, 2021."
WCPFC18,8,Taotasi Archie Soilai (American Samoa Head of Delegation) offered the opening prayer.
WCPFC18,9,"The Commission Chair, Ms. Jung-re Riley Kim, welcomed all participants to WCPFC18, expressing her hope that everyone was well and safe, and her pleasure at seeing everyone, albeit online. She noted that she had shared her thoughts regarding the meeting priorities in writing prior to the meeting (in Circular 2021/101). She observed that despite the inability to meet in person, the Commission’s collective efforts had kept the region’s tuna stocks healthy, and CCMs had carried on important intersessional work. She expressed her sincere appreciation to all for their flexibility, patience, compromise and hard work leading up to WCPFC18. She noted that the international community’s attention was on the actions of the Commission at WCPFC18, in particular regarding the adoption of a new tropical tuna conservation and management measure (CMM). The Chair noted the two tropical tuna workshops that were held during 2021, and the further consultations that served as input to the Chair’s Consultative Draft, which would serve as a reference throughout the upcoming discussions. She stated that a spirit of cooperation would yield a result commensurate with the Commission’s efforts and reputation, and that she counted on CCMs’ close cooperation in this regard. She observed that WCPFC18 was also tasked with a wide array of other important issues, including the improvement of the compliance monitoring scheme (CMS), harvest strategy work, management of stocks other than tropical tuna, electronic monitoring and reporting, transhipment, and FAD management.  She emphasised the need to consider at all times the special requirements of small island developing states (SIDS), who are more vulnerable to the challenges and difficulties stemming from the coronavirus disease (COVID-19) pandemic. She stated that the global health crisis of the prior two years has tested the Commission’s solidarity and that CCMs had proven their collective strength. She expressed her confidence that at WCPFC18 CCMs could once again successfully meet the objectives of the Commission. She closed by thanking the Secretariat for their hard work, and subsidiary body Chairs, Co-Chairs, and Vice-Chairs for their excellent leadership. Her full remarks are included as Attachment B."
WCPFC18,10,"The WCPFC Executive Director, Feleti P Teo, OBE welcomed delegates to WCPFC18, noting it was the second time in the Commission’s history that its annual session was being held virtually. He stated that 2021 was very busy and intense for the WCPFC and its members, and for the Secretariat, noting the ambitious and substantive intersessional work programme set by the Commission at WCPFC17. He referenced the requirement to develop a new tropical tuna measure to succeed the current measure (CMM 2020-01) set to expire in February 2022. He stated that the existing measure had served the Commission well, and enabled the Commission to manage successfully the bigeye, skipjack and yellowfin tuna stocks, which are all assessed as being fished sustainably, an accomplishment unique only to the western and central Pacific Ocean (WCPO) region. He reflected on the time and resources expended in 2021 in developing a new tropical tuna measure as worthwhile investment to ensure the new measure continue to achieve its conservation objectives as supported by the best scientific advice and information available, while permitting where feasible sustainable economic growth of the fishing industry. He noted that the two Commission-level workshops held in 2021 to develop a tropical tuna measure (chaired by the WCPFC Chair) covered much ground, and remarked on the commitment of Commission members to ensure continuation of the management regime for tropical tuna in 2022 and beyond. He also noted the need to continue the operation of the WCPFC compliance monitoring scheme (CMS) beyond 2021, noting that the CMS is at the core of the Commission’s ability to assess the compliance performance of each CCM against obligations under CMMs and other obligations CCMs committed to uphold. He committed all the resources WCPFC18 Summary Report Issued: 13 April 2022  3    and time of the Secretariat to working closely with CCMs to find a way to allow the Commission to continue to assess annually the compliance performance of CCMs while also addressing any deficiencies and reforms needed to enhance the efficiency and equity of the CMS. He stated that his 2021 Annual Report documents and chronicles the many activities the Commission and members were engaged in, both at the Commission and subsidiary body level, and various intersessional working group activities. It also documents separately the activities attributed directly to the Secretariat, which were reported against the milestones and performance indicators in the Secretariat’s Corporate Plan. He observed that the Commission and its members as supported by the Secretariat were able to deliver on their key responsibilities for 2021, and hoped that the same level of success would also be reflected in the outcomes of WCPFC18. His full remarks are included as Attachment C. 1.1 Adoption of Agenda"
